Loaded 200 EVs from /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/evs_200.csv
DEBUG: Sorted EVs by T_arr_idx and ID:
  EV174: T_arr_idx = 14, ID = 174
Gen 119 improved best J -> -0.20966286 (mean: -0.20895821, std: 0.00084920, diversity: 10.7037)
DEBUG Gen 120: invalid_inds_count=100
Gen 120 improved best J -> -0.20969929 (mean: -0.20887264, std: 0.00100838, diversity: 10.0196)
Gen 121 improved best J -> -0.20972447 (mean: -0.20910063, std: 0.00064725, diversity: 11.3376)
Gen 122 improved best J -> -0.20983978 (mean: -0.20910969, std: 0.00069112, diversity: 11.1114)
Gen 124 improved best J -> -0.20992816 (mean: -0.20924549, std: 0.00059812, diversity: 10.3279)
Gen 125 improved best J -> -0.21005124 (mean: -0.20927931, std: 0.00061978, diversity: 11.7789)
Gen 127 improved best J -> -0.21019463 (mean: -0.20949037, std: 0.00056422, diversity: 11.9431)
DEBUG Gen 130: invalid_inds_count=100
Gen 130 improved best J -> -0.21024674 (mean: -0.20951418, std: 0.00075872, diversity: 11.1833)
Gen 131 improved best J -> -0.21027866 (mean: -0.20947680, std: 0.00084798, diversity: 11.5175)
Gen 132 improved best J -> -0.21034946 (mean: -0.20965354, std: 0.00069094, diversity: 12.2906)
Gen 134 improved best J -> -0.21038074 (mean: -0.20971623, std: 0.00083268, diversity: 12.2453)
Gen 135 improved best J -> -0.21059616 (mean: -0.20966226, std: 0.00094088, diversity: 11.7892)
Gen 138 improved best J -> -0.21063192 (mean: -0.20970330, std: 0.00101108, diversity: 8.2739)
Gen 139 improved best J -> -0.21072802 (mean: -0.20996965, std: 0.00082798, diversity: 7.7389)
DEBUG Gen 140: invalid_inds_count=100
Gen 140 best J -0.21072802 (mean: -0.20995191, std: 0.00101284, diversity: 7.7958, no improve: 1)
Gen 141 improved best J -> -0.21080939 (mean: -0.20996059, std: 0.00100009, diversity: 8.4788)
Gen 142 improved best J -> -0.21086099 (mean: -0.21004826, std: 0.00105160, diversity: 8.7008)
Gen 144 improved best J -> -0.21094767 (mean: -0.21026268, std: 0.00076475, diversity: 7.7898)
Gen 145 improved best J -> -0.21094912 (mean: -0.21017780, std: 0.00091074, diversity: 8.1543)
Gen 146 improved best J -> -0.21102116 (mean: -0.21036432, std: 0.00076958, diversity: 7.1935)
Gen 147 improved best J -> -0.21103680 (mean: -0.21028683, std: 0.00088681, diversity: 6.6872)
Gen 148 improved best J -> -0.21118222 (mean: -0.21040308, std: 0.00081021, diversity: 7.2905)
Gen 149 improved best J -> -0.21129405 (mean: -0.21060058, std: 0.00058159, diversity: 6.6452)
DEBUG Gen 150: invalid_inds_count=100
Gen 150 improved best J -> -0.21130504 (mean: -0.21062346, std: 0.00087212, diversity: 6.9219)
Gen 151 improved best J -> -0.21137117 (mean: -0.21063450, std: 0.00082745, diversity: 6.5981)
Gen 152 improved best J -> -0.21143372 (mean: -0.21075853, std: 0.00068673, diversity: 8.0174)
Gen 153 improved best J -> -0.21146372 (mean: -0.21067430, std: 0.00102144, diversity: 7.1751)
Gen 154 improved best J -> -0.21147429 (mean: -0.21077443, std: 0.00105913, diversity: 8.5807)
Gen 155 improved best J -> -0.21155100 (mean: -0.21086881, std: 0.00116273, diversity: 8.2910)
Gen 156 improved best J -> -0.21155383 (mean: -0.21104035, std: 0.00074862, diversity: 8.0594)
Gen 157 improved best J -> -0.21163404 (mean: -0.21114662, std: 0.00059900, diversity: 7.5717)
Gen 158 improved best J -> -0.21170911 (mean: -0.21117696, std: 0.00066150, diversity: 7.7842)
Gen 159 improved best J -> -0.21177018 (mean: -0.21104174, std: 0.00086995, diversity: 8.5916)
DEBUG Gen 160: invalid_inds_count=100
Gen 160 improved best J -> -0.21184590 (mean: -0.21115682, std: 0.00072549, diversity: 7.7621)
Gen 162 improved best J -> -0.21190440 (mean: -0.21124477, std: 0.00064065, diversity: 7.0141)
Gen 163 improved best J -> -0.21196725 (mean: -0.21123307, std: 0.00090354, diversity: 9.0180)
Gen 164 improved best J -> -0.21200550 (mean: -0.21124113, std: 0.00078247, diversity: 8.2406)
Gen 165 improved best J -> -0.21204782 (mean: -0.21123713, std: 0.00084166, diversity: 7.5865)
Gen 166 improved best J -> -0.21210309 (mean: -0.21115138, std: 0.00116084, diversity: 8.2196)
Gen 167 improved best J -> -0.21212121 (mean: -0.21142277, std: 0.00070453, diversity: 8.5074)
Gen 169 improved best J -> -0.21212430 (mean: -0.21119287, std: 0.00137380, diversity: 8.2758)
DEBUG Gen 170: invalid_inds_count=100
Gen 170 improved best J -> -0.21220495 (mean: -0.21157258, std: 0.00068251, diversity: 9.3859)
Gen 171 improved best J -> -0.21225174 (mean: -0.21143848, std: 0.00116841, diversity: 7.9528)
Gen 173 improved best J -> -0.21227788 (mean: -0.21150909, std: 0.00093688, diversity: 8.5457)
Gen 174 improved best J -> -0.21233962 (mean: -0.21167442, std: 0.00068725, diversity: 6.8133)
Gen 175 best J -0.21233962 (mean: -0.21159235, std: 0.00096531, diversity: 8.2907, no improve: 1)
Gen 177 improved best J -> -0.21236769 (mean: -0.21155007, std: 0.00108372, diversity: 7.5644)
Gen 179 improved best J -> -0.21238534 (mean: -0.21147613, std: 0.00103190, diversity: 7.6486)
DEBUG Gen 180: invalid_inds_count=100
Gen 180 improved best J -> -0.21245918 (mean: -0.21149197, std: 0.00133036, diversity: 7.5971)
Gen 182 improved best J -> -0.21252197 (mean: -0.21182273, std: 0.00087931, diversity: 6.8954)
Gen 183 improved best J -> -0.21252871 (mean: -0.21198776, std: 0.00072705, diversity: 7.0421)
Gen 184 improved best J -> -0.21258800 (mean: -0.21196224, std: 0.00074665, diversity: 7.3775)
Gen 185 improved best J -> -0.21267369 (mean: -0.21213659, std: 0.00066269, diversity: 6.1134)
Gen 186 improved best J -> -0.21268851 (mean: -0.21213189, std: 0.00071009, diversity: 6.0188)
Gen 188 improved best J -> -0.21270094 (mean: -0.21205883, std: 0.00095887, diversity: 5.4461)
Gen 189 improved best J -> -0.21273913 (mean: -0.21206685, std: 0.00087603, diversity: 4.5350)
DEBUG Gen 190: invalid_inds_count=100
Gen 190 improved best J -> -0.21277433 (mean: -0.21211255, std: 0.00087628, diversity: 5.6980)
Gen 191 improved best J -> -0.21291095 (mean: -0.21214570, std: 0.00109948, diversity: 5.3518)
Gen 193 improved best J -> -0.21294665 (mean: -0.21231996, std: 0.00090798, diversity: 5.1743)
Gen 194 improved best J -> -0.21297470 (mean: -0.21240926, std: 0.00091970, diversity: 5.4339)
Gen 195 improved best J -> -0.21301339 (mean: -0.21251328, std: 0.00073512, diversity: 6.2911)
Gen 196 improved best J -> -0.21305403 (mean: -0.21224715, std: 0.00159475, diversity: 6.5347)
Gen 197 improved best J -> -0.21308115 (mean: -0.21248468, std: 0.00091143, diversity: 5.9338)
Gen 199 improved best J -> -0.21311686 (mean: -0.21253687, std: 0.00076426, diversity: 4.9329)
DEBUG Gen 200: invalid_inds_count=100
Gen 200 best J -0.21311686 (mean: -0.21245318, std: 0.00095219, diversity: 5.0489, no improve: 1)
Saved GA history to: /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/ga_history_fcfs.csv

=== GA Result Summary ===
Objective J (normalized weighted): -0.21311685923689108
F1 (cost, raw) : 122.15086777319902 F1_norm: 0.08096303086130997
F2 (deg, raw): 11.977476102490721 F2_norm: 0.012432143974645708
F3 (var, raw): 74957.35106197286 F3_norm: 0.012781242774757222
F4 (satisfaction, raw): 28.75958644786466 F4_norm: 0.9586528815954887
Penalties (raw): 0.04864038460592468 Penalties_norm: 2.256759302837847e-06
Violations (SoC, occ, grid): 0.0 0.0 0.0009728076921184936
Generations executed: 200
Average user satisfaction: 0.2233

--- Derived Metrics ---
Average net energy cost per EV: 4.071695592439967
Average battery degradation cost per EV: 0.3992492034163574
Grid load variance (raw F3): 74957.35106197286
Average user satisfaction (admitted EVs): 0.9587
Average user satisfaction (all EVs in pool): 0.5525
Average waiting time (admitted EVs): 0.000 hours
Average waiting time (all EVs in pool): 5.034 hours
Fairness (Gini on delivered kWh): 0.23262379068081174

Saved best_schedule_fcfs.csv to: /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/best_schedule_fcfs.csv

--- Per-EV Diagnostics (admitted) ---
EV174: delivered=16.49 kWh, SoC_T=0.361, S_i=0.987
EV35: delivered=12.79 kWh, SoC_T=0.440, S_i=0.950
EV138: delivered=27.89 kWh, SoC_T=0.598, S_i=0.852
EV175: delivered=19.87 kWh, SoC_T=0.356, S_i=0.931
EV5: delivered=25.54 kWh, SoC_T=0.559, S_i=0.947
EV99: delivered=9.75 kWh, SoC_T=0.540, S_i=0.999
EV149: delivered=14.16 kWh, SoC_T=0.544, S_i=0.999
EV198: delivered=10.71 kWh, SoC_T=0.453, S_i=0.996
EV86: delivered=18.77 kWh, SoC_T=0.577, S_i=0.978
EV146: delivered=16.45 kWh, SoC_T=0.634, S_i=0.878
EV87: delivered=25.70 kWh, SoC_T=0.482, S_i=0.991
EV120: delivered=6.60 kWh, SoC_T=0.475, S_i=0.949
EV17: delivered=8.40 kWh, SoC_T=0.525, S_i=0.998
EV58: delivered=13.34 kWh, SoC_T=0.486, S_i=0.945
EV159: delivered=13.58 kWh, SoC_T=0.730, S_i=0.998
EV39: delivered=34.36 kWh, SoC_T=0.746, S_i=0.936
EV54: delivered=8.41 kWh, SoC_T=0.342, S_i=0.795
EV154: delivered=12.88 kWh, SoC_T=0.514, S_i=0.995
EV1: delivered=11.70 kWh, SoC_T=0.440, S_i=0.943
EV78: delivered=11.10 kWh, SoC_T=0.438, S_i=0.936
EV94: delivered=17.25 kWh, SoC_T=0.492, S_i=0.995
EV147: delivered=13.25 kWh, SoC_T=0.709, S_i=0.999
EV6: delivered=20.07 kWh, SoC_T=0.460, S_i=0.838
EV45: delivered=8.77 kWh, SoC_T=0.411, S_i=1.000
EV66: delivered=11.90 kWh, SoC_T=0.665, S_i=0.999
EV173: delivered=13.61 kWh, SoC_T=0.442, S_i=0.939
EV176: delivered=25.51 kWh, SoC_T=0.379, S_i=0.995
EV3: delivered=15.92 kWh, SoC_T=0.352, S_i=0.997
EV126: delivered=11.64 kWh, SoC_T=0.319, S_i=0.997
EV195: delivered=30.82 kWh, SoC_T=0.419, S_i=1.000
